"record_type","category_slug","editorial_status","entity_type","label_es","ranking_snapshot_id","ranking_snapshot_status","source_snapshot_id","source_key","source_rights_status","coverage_complete","coverage_compatible_with_label","rows_audited","snapshot_rows_total","unique_source_entities","unique_canonical_entities","rows_zero_or_negative","duplicate_canonical_entries","conflicting_identity_rows","playable_top200","visual_asset_status","anomaly_codes","rank","entity_id","source_entity_id","source_name","canonical_name","raw_value","score","tie_group","identity_status","playable","media_status","evidence_urls"
"category","club-career-red-cards","provisional","player","Tarjetas rojas globales en clubes","rs_562b15ab2bb831b906846acb","draft","src_eec28a0333d474df7ca0e0e7","schochastics-football-data-incidents","review_required","false","false","200","200","200","200","0","0","0","99","mixed","coverage_incomplete; declared_200_incomplete; temporal_window_not_declared; global_label_overclaims_scope; source_rights_not_approved; top20_visual_assets_not_licensed","","","","","","","","","","","",""
"top20","club-career-red-cards","provisional","player","Tarjetas rojas globales en clubes","rs_562b15ab2bb831b906846acb","draft","src_eec28a0333d474df7ca0e0e7","schochastics-football-data-incidents","review_required","false","false","","","","","","","","","","","1","api-football:player:85062","api-football:player:85062","Thiago Motta","Thiago Motta","13","1","1","canonical","true","pending","https://github.com/schochastics/football-data; https://raw.githubusercontent.com/schochastics/football-data/6ba5e7e8f8657b6ccdeb0e89778765423f8d5aaf/data/goals_time2/frankreich_ligue-1-2012-2013.json; https://raw.githubusercontent.com/schochastics/football-data/6ba5e7e8f8657b6ccdeb0e89778765423f8d5aaf/data/goals_time2/frankreich_ligue-1-2013-2014.json; https://raw.githubusercontent.com/schochastics/football-data/6ba5e7e8f8657b6ccdeb0e89778765423f8d5aaf/data/goals_time2/frankreich_ligue-1-2016-2017.json; https://raw.githubusercontent.com/schochastics/football-data/6ba5e7e8f8657b6ccdeb0e89778765423f8d5aaf/data/goals_time2/frankreich_ligue-1-2017-2018.json; https://raw.githubusercontent.com/schochastics/football-data/6ba5e7e8f8657b6ccdeb0e89778765423f8d5aaf/data/goals_time2/italien_serie-a-2008-2009.json; https://raw.githubusercontent.com/schochastics/football-data/6ba5e7e8f8657b6ccdeb0e89778765423f8d5aaf/data/goals_time2/italien_serie-a-2023-2024.json; https://raw.githubusercontent.com/schochastics/football-data/6ba5e7e8f8657b6ccdeb0e89778765423f8d5aaf/data/goals_time2/italien_serie-a-2024-2025.json; https://raw.githubusercontent.com/schochastics/football-data/6ba5e7e8f8657b6ccdeb0e89778765423f8d5aaf/data/goals_time2/spanien_la-liga-2003-2004.json; https://raw.githubusercontent.com/schochastics/football-data/6ba5e7e8f8657b6ccdeb0e89778765423f8d5aaf/data/goals_time2/spanien_la-liga-2005-2006.json"
"top20","club-career-red-cards","provisional","player","Tarjetas rojas globales en clubes","rs_562b15ab2bb831b906846acb","draft","src_eec28a0333d474df7ca0e0e7","schochastics-football-data-incidents","review_required","false","false","","","","","","","","","","","1","uefa:player:04cf3fda53c4035a29db57f9","uefa:player:04cf3fda53c4035a29db57f9","Sergio Ramos","Sergio Ramos","13","1","1","canonical","true","licensed","https://github.com/schochastics/football-data; https://raw.githubusercontent.com/schochastics/football-data/6ba5e7e8f8657b6ccdeb0e89778765423f8d5aaf/data/goals_time2/frankreich_ligue-1-2022-2023.json; https://raw.githubusercontent.com/schochastics/football-data/6ba5e7e8f8657b6ccdeb0e89778765423f8d5aaf/data/goals_time2/spanien_la-liga-2005-2006.json; https://raw.githubusercontent.com/schochastics/football-data/6ba5e7e8f8657b6ccdeb0e89778765423f8d5aaf/data/goals_time2/spanien_la-liga-2006-2007.json; https://raw.githubusercontent.com/schochastics/football-data/6ba5e7e8f8657b6ccdeb0e89778765423f8d5aaf/data/goals_time2/spanien_la-liga-2007-2008.json; https://raw.githubusercontent.com/schochastics/football-data/6ba5e7e8f8657b6ccdeb0e89778765423f8d5aaf/data/goals_time2/spanien_la-liga-2008-2009.json; https://raw.githubusercontent.com/schochastics/football-data/6ba5e7e8f8657b6ccdeb0e89778765423f8d5aaf/data/goals_time2/spanien_la-liga-2009-2010.json; https://raw.githubusercontent.com/schochastics/football-data/6ba5e7e8f8657b6ccdeb0e89778765423f8d5aaf/data/goals_time2/spanien_la-liga-2010-2011.json; https://raw.githubusercontent.com/schochastics/football-data/6ba5e7e8f8657b6ccdeb0e89778765423f8d5aaf/data/goals_time2/spanien_la-liga-2013-2014.json; https://raw.githubusercontent.com/schochastics/football-data/6ba5e7e8f8657b6ccdeb0e89778765423f8d5aaf/data/goals_time2/spanien_la-liga-2016-2017.json; https://raw.githubusercontent.com/schochastics/football-data/6ba5e7e8f8657b6ccdeb0e89778765423f8d5aaf/data/goals_time2/spanien_la-liga-2023-2024.json"
"top20","club-career-red-cards","provisional","player","Tarjetas rojas globales en clubes","rs_562b15ab2bb831b906846acb","draft","src_eec28a0333d474df7ca0e0e7","schochastics-football-data-incidents","review_required","false","false","","","","","","","","","","","3","football-data:player:juric-i","football-data:player:juric-i","Juric I.","Juric I.","10","3","2","canonical","false","fallback","https://github.com/schochastics/football-data; https://raw.githubusercontent.com/schochastics/football-data/6ba5e7e8f8657b6ccdeb0e89778765423f8d5aaf/data/goals_time2/italien_serie-a-2007-2008.json; https://raw.githubusercontent.com/schochastics/football-data/6ba5e7e8f8657b6ccdeb0e89778765423f8d5aaf/data/goals_time2/italien_serie-a-2008-2009.json; https://raw.githubusercontent.com/schochastics/football-data/6ba5e7e8f8657b6ccdeb0e89778765423f8d5aaf/data/goals_time2/italien_serie-a-2020-2021.json; https://raw.githubusercontent.com/schochastics/football-data/6ba5e7e8f8657b6ccdeb0e89778765423f8d5aaf/data/goals_time2/italien_serie-a-2022-2023.json; https://raw.githubusercontent.com/schochastics/football-data/6ba5e7e8f8657b6ccdeb0e89778765423f8d5aaf/data/goals_time2/italien_serie-a-2023-2024.json"
"top20","club-career-red-cards","provisional","player","Tarjetas rojas globales en clubes","rs_562b15ab2bb831b906846acb","draft","src_eec28a0333d474df7ca0e0e7","schochastics-football-data-incidents","review_required","false","false","","","","","","","","","","","4","football-data:player:ledesma-c","football-data:player:ledesma-c","Ledesma C.","Ledesma C.","9","4","3","canonical","false","fallback","https://github.com/schochastics/football-data; https://raw.githubusercontent.com/schochastics/football-data/6ba5e7e8f8657b6ccdeb0e89778765423f8d5aaf/data/goals_time2/italien_serie-a-2003-2004.json; https://raw.githubusercontent.com/schochastics/football-data/6ba5e7e8f8657b6ccdeb0e89778765423f8d5aaf/data/goals_time2/italien_serie-a-2005-2006.json; https://raw.githubusercontent.com/schochastics/football-data/6ba5e7e8f8657b6ccdeb0e89778765423f8d5aaf/data/goals_time2/italien_serie-a-2006-2007.json; https://raw.githubusercontent.com/schochastics/football-data/6ba5e7e8f8657b6ccdeb0e89778765423f8d5aaf/data/goals_time2/italien_serie-a-2008-2009.json; https://raw.githubusercontent.com/schochastics/football-data/6ba5e7e8f8657b6ccdeb0e89778765423f8d5aaf/data/goals_time2/italien_serie-a-2009-2010.json; https://raw.githubusercontent.com/schochastics/football-data/6ba5e7e8f8657b6ccdeb0e89778765423f8d5aaf/data/goals_time2/italien_serie-a-2010-2011.json; https://raw.githubusercontent.com/schochastics/football-data/6ba5e7e8f8657b6ccdeb0e89778765423f8d5aaf/data/goals_time2/italien_serie-a-2013-2014.json"
"top20","club-career-red-cards","provisional","player","Tarjetas rojas globales en clubes","rs_562b15ab2bb831b906846acb","draft","src_eec28a0333d474df7ca0e0e7","schochastics-football-data-incidents","review_required","false","false","","","","","","","","","","","5","api-football:player:21443","api-football:player:21443","Téji Savanier","Téji Savanier","8","5","4","canonical","true","pending","https://github.com/schochastics/football-data; https://raw.githubusercontent.com/schochastics/football-data/6ba5e7e8f8657b6ccdeb0e89778765423f8d5aaf/data/goals_time2/frankreich_ligue-1-2018-2019.json; https://raw.githubusercontent.com/schochastics/football-data/6ba5e7e8f8657b6ccdeb0e89778765423f8d5aaf/data/goals_time2/frankreich_ligue-1-2020-2021.json; https://raw.githubusercontent.com/schochastics/football-data/6ba5e7e8f8657b6ccdeb0e89778765423f8d5aaf/data/goals_time2/frankreich_ligue-1-2021-2022.json; https://raw.githubusercontent.com/schochastics/football-data/6ba5e7e8f8657b6ccdeb0e89778765423f8d5aaf/data/goals_time2/frankreich_ligue-1-2022-2023.json; https://raw.githubusercontent.com/schochastics/football-data/6ba5e7e8f8657b6ccdeb0e89778765423f8d5aaf/data/goals_time2/frankreich_ligue-1-2023-2024.json; https://raw.githubusercontent.com/schochastics/football-data/6ba5e7e8f8657b6ccdeb0e89778765423f8d5aaf/data/goals_time2/frankreich_ligue-1-2024-2025.json"
"top20","club-career-red-cards","provisional","player","Tarjetas rojas globales en clubes","rs_562b15ab2bb831b906846acb","draft","src_eec28a0333d474df7ca0e0e7","schochastics-football-data-incidents","review_required","false","false","","","","","","","","","","","5","football-data:player:dani-alves","football-data:player:dani-alves","Dani Alves","Dani Alves","8","5","4","canonical","false","fallback","https://github.com/schochastics/football-data; https://raw.githubusercontent.com/schochastics/football-data/6ba5e7e8f8657b6ccdeb0e89778765423f8d5aaf/data/goals_time2/frankreich_ligue-1-2017-2018.json; https://raw.githubusercontent.com/schochastics/football-data/6ba5e7e8f8657b6ccdeb0e89778765423f8d5aaf/data/goals_time2/spanien_la-liga-2004-2005.json; https://raw.githubusercontent.com/schochastics/football-data/6ba5e7e8f8657b6ccdeb0e89778765423f8d5aaf/data/goals_time2/spanien_la-liga-2005-2006.json; https://raw.githubusercontent.com/schochastics/football-data/6ba5e7e8f8657b6ccdeb0e89778765423f8d5aaf/data/goals_time2/spanien_la-liga-2007-2008.json; https://raw.githubusercontent.com/schochastics/football-data/6ba5e7e8f8657b6ccdeb0e89778765423f8d5aaf/data/goals_time2/spanien_la-liga-2014-2015.json; https://raw.githubusercontent.com/schochastics/football-data/6ba5e7e8f8657b6ccdeb0e89778765423f8d5aaf/data/goals_time2/spanien_la-liga-2021-2022.json"
"top20","club-career-red-cards","provisional","player","Tarjetas rojas globales en clubes","rs_562b15ab2bb831b906846acb","draft","src_eec28a0333d474df7ca0e0e7","schochastics-football-data-incidents","review_required","false","false","","","","","","","","","","","5","football-data:player:de-rossi-d","football-data:player:de-rossi-d","De Rossi D.","De Rossi D.","8","5","4","canonical","false","fallback","https://github.com/schochastics/football-data; https://raw.githubusercontent.com/schochastics/football-data/6ba5e7e8f8657b6ccdeb0e89778765423f8d5aaf/data/goals_time2/italien_serie-a-2004-2005.json; https://raw.githubusercontent.com/schochastics/football-data/6ba5e7e8f8657b6ccdeb0e89778765423f8d5aaf/data/goals_time2/italien_serie-a-2008-2009.json; https://raw.githubusercontent.com/schochastics/football-data/6ba5e7e8f8657b6ccdeb0e89778765423f8d5aaf/data/goals_time2/italien_serie-a-2010-2011.json; https://raw.githubusercontent.com/schochastics/football-data/6ba5e7e8f8657b6ccdeb0e89778765423f8d5aaf/data/goals_time2/italien_serie-a-2012-2013.json; https://raw.githubusercontent.com/schochastics/football-data/6ba5e7e8f8657b6ccdeb0e89778765423f8d5aaf/data/goals_time2/italien_serie-a-2013-2014.json; https://raw.githubusercontent.com/schochastics/football-data/6ba5e7e8f8657b6ccdeb0e89778765423f8d5aaf/data/goals_time2/italien_serie-a-2017-2018.json"
"top20","club-career-red-cards","provisional","player","Tarjetas rojas globales en clubes","rs_562b15ab2bb831b906846acb","draft","src_eec28a0333d474df7ca0e0e7","schochastics-football-data-incidents","review_required","false","false","","","","","","","","","","","5","football-data:player:felipe","football-data:player:felipe","Felipe","Felipe","8","5","4","canonical","false","fallback","https://github.com/schochastics/football-data; https://raw.githubusercontent.com/schochastics/football-data/6ba5e7e8f8657b6ccdeb0e89778765423f8d5aaf/data/goals_time2/italien_serie-a-2007-2008.json; https://raw.githubusercontent.com/schochastics/football-data/6ba5e7e8f8657b6ccdeb0e89778765423f8d5aaf/data/goals_time2/italien_serie-a-2010-2011.json; https://raw.githubusercontent.com/schochastics/football-data/6ba5e7e8f8657b6ccdeb0e89778765423f8d5aaf/data/goals_time2/italien_serie-a-2012-2013.json; https://raw.githubusercontent.com/schochastics/football-data/6ba5e7e8f8657b6ccdeb0e89778765423f8d5aaf/data/goals_time2/italien_serie-a-2013-2014.json; https://raw.githubusercontent.com/schochastics/football-data/6ba5e7e8f8657b6ccdeb0e89778765423f8d5aaf/data/goals_time2/italien_serie-a-2015-2016.json; https://raw.githubusercontent.com/schochastics/football-data/6ba5e7e8f8657b6ccdeb0e89778765423f8d5aaf/data/goals_time2/italien_serie-a-2017-2018.json; https://raw.githubusercontent.com/schochastics/football-data/6ba5e7e8f8657b6ccdeb0e89778765423f8d5aaf/data/goals_time2/spanien_la-liga-2021-2022.json"
"top20","club-career-red-cards","provisional","player","Tarjetas rojas globales en clubes","rs_562b15ab2bb831b906846acb","draft","src_eec28a0333d474df7ca0e0e7","schochastics-football-data-incidents","review_required","false","false","","","","","","","","","","","5","football-data:player:hilton","football-data:player:hilton","Hilton","Hilton","8","5","4","canonical","false","fallback","https://github.com/schochastics/football-data; https://raw.githubusercontent.com/schochastics/football-data/6ba5e7e8f8657b6ccdeb0e89778765423f8d5aaf/data/goals_time2/frankreich_ligue-1-2004-2005.json; https://raw.githubusercontent.com/schochastics/football-data/6ba5e7e8f8657b6ccdeb0e89778765423f8d5aaf/data/goals_time2/frankreich_ligue-1-2011-2012.json; https://raw.githubusercontent.com/schochastics/football-data/6ba5e7e8f8657b6ccdeb0e89778765423f8d5aaf/data/goals_time2/frankreich_ligue-1-2013-2014.json; https://raw.githubusercontent.com/schochastics/football-data/6ba5e7e8f8657b6ccdeb0e89778765423f8d5aaf/data/goals_time2/frankreich_ligue-1-2014-2015.json; https://raw.githubusercontent.com/schochastics/football-data/6ba5e7e8f8657b6ccdeb0e89778765423f8d5aaf/data/goals_time2/frankreich_ligue-1-2015-2016.json; https://raw.githubusercontent.com/schochastics/football-data/6ba5e7e8f8657b6ccdeb0e89778765423f8d5aaf/data/goals_time2/frankreich_ligue-1-2018-2019.json; https://raw.githubusercontent.com/schochastics/football-data/6ba5e7e8f8657b6ccdeb0e89778765423f8d5aaf/data/goals_time2/frankreich_ligue-1-2020-2021.json"
